ds,yhat,yhat_lower,yhat_upper
2025-01-09,2251.0157394607186,1575.9915424279768,2941.6541808819875
2025-01-10,2252.048307200333,1595.473329576518,2934.0010557476207
2025-01-11,2251.9332093582893,1594.8024846908795,2943.9651063094366
2025-01-12,2251.5619279870093,1553.939825851309,2933.2961931898035
2025-01-13,2251.8474855997297,1551.8929660779827,2945.5684835223233
2025-01-14,2253.0010017811387,1587.1180031333467,2959.777848199111
2025-01-15,2254.4212908389914,1566.478611230888,2949.416562362817
2025-01-16,2255.298725192518,1569.528771167727,2952.555461853845
2025-01-17,2255.37694579099,1559.2311324532402,2951.2704110762756
2025-01-18,2255.173354839252,1552.970767843141,2950.2316100045314
2025-01-19,2255.4699442339784,1547.3931489997142,2979.125166482052
2025-01-20,2256.568894394375,1575.2244102777204,2964.093183018952
2025-01-21,2258.0180622638923,1537.4446028838693,2966.6620596521666
2025-01-22,2259.055393823697,1543.1681515284317,2960.672130130938
2025-01-23,2259.337242989925,1543.3343986344935,2981.6614162422234
2025-01-24,2259.2542483265665,1534.0984547050537,2981.714159734453
2025-01-25,2259.541406930703,1528.8189850060717,2977.041446032088
2025-01-26,2260.56337432778,1497.8352333876212,2987.6032333058524
2025-01-27,2261.956961331747,1514.7247956395358,2990.513996111941
2025-01-28,2262.961952565556,1514.3577338057808,2990.0845537397186
2025-01-29,2263.116222998473,1509.9128593935748,3014.3157770682715
2025-01-30,2262.661256072821,1522.2203407778638,3005.2159197007404
2025-01-31,2262.3030265778857,1500.7937298590775,3019.383158170035
2025-02-01,2262.5944492448857,1511.080890968095,3006.5083144655728
2025-02-02,2263.5422914898445,1506.6790032917145,3020.621903812888
2025-02-03,2264.7800512154568,1501.7236537491565,3021.5895049442865
2025-02-04,2266.066842105178,1519.7778514194347,3018.0134337828013
2025-02-05,2267.556542160256,1496.0591037408221,3012.3369917584396
2025-02-06,2269.542687059531,1519.61281710582,3013.2482915472187
2025-02-07,2271.953038095487,1507.443798561273,3024.711232149131
2025-02-08,2274.162201218034,1476.7643942655668,3030.050026601233
2025-02-09,2275.3986820212976,1495.3481388823147,3049.1500932035947
2025-02-10,2275.418944024831,1506.1901848593973,3000.81062065369
2025-02-11,2274.8055617129517,1483.1735230126735,3070.5512994931546
2025-02-12,2274.554659148672,1472.0809696572526,3031.061521543741
